41	61	# A => a
42	62	# B => b
43	63	# C => c
44	64	# D => d
45	65	# E => e
46	66	# F => f
47	67	# G => g
48	68	# H => h
49	69	# I => i
4A	6A	# J => j
4B	6B	# K => k
4C	6C	# L => l
4D	6D	# M => m
4E	6E	# N => n
4F	6F	# O => o
50	70	# P => p
51	71	# Q => q
52	72	# R => r
53	73	# S => s
54	74	# T => t
55	75	# U => u
56	76	# V => v
57	77	# W => w
58	78	# X => x
59	79	# Y => y
5A	7A	# Z => z
C0	E0	# À => à
C1	E1	# Á => á
C2	E2	# Â => â
C3	E3	# Ã => ã
C4	E4	# Ä => ä
C5	E5	# Å => å
C6	E6	# Æ => æ
C7	E7	# Ç => ç
C8	E8	# È => è
C9	E9	# É => é
CA	EA	# Ê => ê
CB	EB	# Ë => ë
CC	EC	# Ì => ì
CD	ED	# Í => í
CE	EE	# Î => î
CF	EF	# Ï => ï
D0	F0	# Ð => ð
D1	F1	# Ñ => ñ
D2	F2	# Ò => ò
D3	F3	# Ó => ó
D4	F4	# Ô => ô
D5	F5	# Õ => õ
D6	F6	# Ö => ö
D8	F8	# Ø => ø
D9	F9	# Ù => ù
DA	FA	# Ú => ú
DB	FB	# Û => û
DC	FC	# Ü => ü
DD	FD	# Ý => ý
DE	FE	# Þ => þ
100	101	# Ā => ā
102	103	# Ă => ă
104	105	# Ą => ą
106	107	# Ć => ć
108	109	# Ĉ => ĉ
10A	10B	# Ċ => ċ
10C	10D	# Č => č
10E	10F	# Ď => ď
110	111	# Đ => đ
112	113	# Ē => ē
114	115	# Ĕ => ĕ
116	117	# Ė => ė
118	119	# Ę => ę
11A	11B	# Ě => ě
11C	11D	# Ĝ => ĝ
11E	11F	# Ğ => ğ
120	121	# Ġ => ġ
122	123	# Ģ => ģ
124	125	# Ĥ => ĥ
126	127	# Ħ => ħ
128	129	# Ĩ => ĩ
12A	12B	# Ī => ī
12C	12D	# Ĭ => ĭ
12E	12F	# Į => į
134	135	# Ĵ => ĵ
136	137	# Ķ => ķ
139	13A	# Ĺ => ĺ
13B	13C	# Ļ => ļ
13D	13E	# Ľ => ľ
141	142	# Ł => ł
143	144	# Ń => ń
145	146	# Ņ => ņ
147	148	# Ň => ň
14A	14B	# Ŋ => ŋ
14C	14D	# Ō => ō
14E	14F	# Ŏ => ŏ
150	151	# Ő => ő
152	153	# Œ => œ
154	155	# Ŕ => ŕ
156	157	# Ŗ => ŗ
158	159	# Ř => ř
15A	15B	# Ś => ś
15C	15D	# Ŝ => ŝ
15E	15F	# Ş => ş
160	161	# Š => š
162	163	# Ţ => ţ
164	165	# Ť => ť
166	167	# Ŧ => ŧ
168	169	# Ũ => ũ
16A	16B	# Ū => ū
16C	16D	# Ŭ => ŭ
16E	16F	# Ů => ů
170	171	# Ű => ű
172	173	# Ų => ų
174	175	# Ŵ => ŵ
176	177	# Ŷ => ŷ
178	FF	# Ÿ => ÿ
179	17A	# Ź => ź
17B	17C	# Ż => ż
17D	17E	# Ž => ž
181	253	# Ɓ => ɓ
182	183	# Ƃ => ƃ
184	185	# Ƅ => ƅ
186	254	# Ɔ => ɔ
187	188	# Ƈ => ƈ
189	256	# Ɖ => ɖ
18A	257	# Ɗ => ɗ
18B	18C	# Ƌ => ƌ
18E	1DD	# Ǝ => ǝ
18F	259	# Ə => ə
190	25B	# Ɛ => ɛ
191	192	# Ƒ => ƒ
193	260	# Ɠ => ɠ
194	263	# Ɣ => ɣ
196	269	# Ɩ => ɩ
197	268	# Ɨ => ɨ
198	199	# Ƙ => ƙ
19C	26F	# Ɯ => ɯ
19D	272	# Ɲ => ɲ
19F	275	# Ɵ => ɵ
1A0	1A1	# Ơ => ơ
1A2	1A3	# Ƣ => ƣ
1A4	1A5	# Ƥ => ƥ
1A6	280	# Ʀ => ʀ
1A7	1A8	# Ƨ => ƨ
1A9	283	# Ʃ => ʃ
1AC	1AD	# Ƭ => ƭ
1AE	288	# Ʈ => ʈ
1AF	1B0	# Ư => ư
1B1	28A	# Ʊ => ʊ
1B2	28B	# Ʋ => ʋ
1B3	1B4	# Ƴ => ƴ
1B5	1B6	# Ƶ => ƶ
1B7	292	# Ʒ => ʒ
1B8	1B9	# Ƹ => ƹ
1BC	1BD	# Ƽ => ƽ
1CD	1CE	# Ǎ => ǎ
1CF	1D0	# Ǐ => ǐ
1D1	1D2	# Ǒ => ǒ
